YEAR,Date,PREC,RH2M,T2M,T2M_MAX,T2M_MIN,WD10M,WS10M
2014,SEP,8.75,86.88,26.18,33.24,22.48,258.25,3.34
2014,OCT,0.93,75.31,26.62,33.58,18.67,75.19,2.66
2014,NOV,0.65,66.94,25.09,32.74,16.51,82.62,2.95
2014,DEC,0.61,54.5,23.06,33.75,11.9,82.75,3.28
2015,JAN,0.03,53.25,22.9,35.25,13.88,49.69,3.12
2015,FEB,0.42,43.69,25.98,39.01,16.51,4.56,3.09
2015,MAR,1.3,50.25,28.05,43.45,14.11,341.5,3.05
2015,APR,0.06,56.38,30.09,42.22,20.8,281.69,2.84
2015,MAY,1.1,61.25,31.42,40.4,24.15,278.81,3.27
2015,JUN,26.82,80.62,28.33,37.65,24.83,224,5.23
2015,JUL,9.09,86.62,26.95,30.85,24.11,244.44,5.48
2015,AUG,3.94,87.44,26.52,31.14,23.86,259.44,3.73
2015,SEP,10.27,84.44,26.51,34.21,20.65,282.12,2.9
2015,OCT,2.32,75.81,27.44,35.3,20.58,75.31,2.54
2015,NOV,0.98,69.44,25.39,33.4,18.04,74.06,3.2
2015,DEC,0,52.5,23.86,35.64,12.73,68.81,3.23
2016,JAN,0.01,45.5,23.5,37.51,13.05,42.56,2.95
2016,FEB,0.72,50.56,25.69,38.77,15.2,322.5,2.68
2016,MAR,0.1,47.94,29.19,42.69,19.51,322.25,2.84
2016,APR,0.06,53.75,30.54,41.65,22,306.81,3.16
2016,MAY,0.3,61.38,31.47,40.37,24.36,269.69,3.68
2016,JUN,17.85,77.31,29.19,39.19,25.26,253.62,4.62
2016,JUL,32.56,91.19,26.29,29.23,24.03,249.06,4.96
2016,AUG,22.07,90.75,25.89,29.24,23.41,247.88,5.02
2016,SEP,20.21,90,25.62,30.28,22.26,284,3.53
2016,OCT,3.24,78.81,24.96,32.1,16.65,27,2.91
2016,NOV,0,61.06,23.01,33.44,15.04,86.56,3.39
2016,DEC,0,53.94,23.35,33.87,13.48,81.44,3.29
2017,JAN,0,48.62,23.34,36.11,12.13,55.94,3.08
2017,FEB,0,37.75,26.98,40.69,15.76,30.5,3.12
2017,MAR,0.06,47,28.47,44.11,16.72,310.44,2.86
2017,APR,0.01,53.12,30.35,43.46,20.44,286.44,3
2017,MAY,0.44,59.12,31.56,41.18,24.26,273.56,3.4
2017,JUN,20.03,82.31,28.52,37.52,25.51,235.5,4.54
2017,JUL,32.65,89.94,26.62,29.75,24.38,248.06,5.76
2017,AUG,21.46,89.94,26.15,29.56,22.68,254.56,4.1
2017,SEP,15.74,88.38,26.71,32.88,22.62,295.94,2.72
2017,OCT,4.37,77.19,26.6,34.03,18.12,53.62,2.32
2017,NOV,0.03,67.12,23.55,31.77,15.83,72.5,3.12
2017,DEC,1.53,66.62,22.3,31.23,14.39,84.44,3.31
2018,JAN,0.07,54.31,23.08,34.65,13.56,53.25,2.77
2018,FEB,0.23,44.69,26.05,39.87,15.78,33.5,2.8
2018,MAR,0.05,42.81,29.21,42.99,19.55,328.56,2.79
2018,APR,0.03,51.31,30.9,42.54,22.05,300.75,2.74
2018,MAY,0.17,59.19,31.4,41.03,24.11,276.81,3.23
2018,JUN,18.03,81.81,28.57,37.77,24.72,246.5,4.57
2018,JUL,31.28,91,26.3,30.19,24.21,242.56,5.8
2018,AUG,13.66,89.94,25.73,28.78,23.17,251.25,5.39
2018,SEP,3.3,85.44,25.94,33.85,21.65,277.75,2.88
2018,OCT,0.7,69.38,26.89,35.32,18.19,72.31,2.59
2018,NOV,0.22,58.75,25.8,34.56,17.38,75.94,2.8
2018,DEC,0.01,46.25,23.37,34.25,12.27,61.44,3.35
2019,JAN,0.01,34.69,23.38,35.97,12.56,46.19,3.37
2019,FEB,0.01,40.44,25.35,39.4,12.3,348.69,3.26
2019,MAR,0.02,44.19,28.07,43.26,17.08,326.56,3.06
2019,APR,0.12,52.88,30.89,44.91,20.89,303.19,3.02
2019,MAY,0.01,58.19,31.05,41.81,23.39,294.19,3.5
2019,JUN,15.14,73.56,29.83,39.27,25.56,234.75,4.3
2019,JUL,34.95,90.81,26.93,30.78,24.4,245.5,4.89
2019,AUG,21.51,90.75,26.27,29.76,23.61,247.56,4.76
2019,SEP,30.96,91.38,26.32,30.43,23.73,241.75,4.02
2019,OCT,6.21,84.44,26.38,33.06,21.13,76.25,2.66
2019,NOV,1.78,78.5,25.17,31.83,18.18,89.25,2.69
2019,DEC,0.09,76.81,23.87,31.44,14.23,74.69,2.88
2020,JAN,0.01,67.56,21.66,33.48,10.51,30.62,3.04
2020,FEB,0.01,49.88,25.23,37.35,12.38,44.56,3.16
2020,MAR,0.13,49.38,27.63,40.44,15.57,315.62,2.99
2020,APR,0.18,51.19,31.58,43.5,21.4,309.88,3.04
2020,MAY,0.27,57.25,32.21,41.58,24.95,303.06,3.71
2020,JUN,15.42,83,28.11,35.47,23.71,223,3.48
2020,JUL,25.2,90.19,26.94,31.19,24.11,229.56,4.36
2020,AUG,38.81,92.31,26.34,29.49,24.15,236.88,5.36
2020,SEP,12.04,90.12,26.51,32.59,23.37,278.31,2.66
2020,OCT,5.81,82.69,26.93,32.55,19.93,335.44,2.21
2020,NOV,0.02,76.06,24.85,32.37,15.42,74.88,2.88
2020,DEC,0.39,69.38,23.22,31.57,13.8,79,2.87
